 TITLE = "DIFFUSION 2D - FD"
 VARIABLES = "X" "Y" "C" "ERR"
  ZONE F=POINT, I=         101 , J=          101
   -4.00000000   -4.00000000    0.00000003    0.00000000
   -3.92000000   -4.00000000    0.00000005    0.00000000
   -3.84000000   -4.00000000    0.00000007    0.00000000
   -3.76000000   -4.00000000    0.00000012    0.00000000
   -3.68000000   -4.00000000    0.00000018    0.00000000
   -3.60000000   -4.00000000    0.00000027    0.00000000
   -3.52000000   -4.00000000    0.00000041    0.00000000
   -3.44000000   -4.00000000    0.00000061    0.00000000
   -3.36000000   -4.00000000    0.00000090    0.00000000
   -3.28000000   -4.00000000    0.00000130    0.00000000
   -3.20000000   -4.00000000    0.00000186    0.00000000
   -3.12000000   -4.00000000    0.00000263    0.00000000
   -3.04000000   -4.00000000    0.00000367    0.00000000
   -2.96000000   -4.00000000    0.00000506    0.00000000
   -2.88000000   -4.00000000    0.00000688    0.00000000
   -2.80000000   -4.00000000    0.00000923    0.00000000
   -2.72000000   -4.00000000    0.00001223    0.00000000
   -2.64000000   -4.00000000    0.00001601    0.00000000
   -2.56000000   -4.00000000    0.00002068    0.00000000
   -2.48000000   -4.00000000    0.00002637    0.00000000
   -2.40000000   -4.00000000    0.00003320    0.00000000
   -2.32000000   -4.00000000    0.00004127    0.00000000
   -2.24000000   -4.00000000    0.00005065    0.00000000
   -2.16000000   -4.00000000    0.00006137    0.00000000
   -2.08000000   -4.00000000    0.00007342    0.00000000
   -2.00000000   -4.00000000    0.00008671    0.00000000
   -1.92000000   -4.00000000    0.00010110    0.00000000
   -1.84000000   -4.00000000    0.00011639    0.00000000
   -1.76000000   -4.00000000    0.00013228    0.00000000
   -1.68000000   -4.00000000    0.00014843    0.00000000
   -1.60000000   -4.00000000    0.00016444    0.00000000
   -1.52000000   -4.00000000    0.00017985    0.00000000
   -1.44000000   -4.00000000    0.00019421    0.00000000
   -1.36000000   -4.00000000    0.00020705    0.00000000
   -1.28000000   -4.00000000    0.00021792    0.00000000
   -1.20000000   -4.00000000    0.00022645    0.00000000
   -1.12000000   -4.00000000    0.00023233    0.00000000
   -1.04000000   -4.00000000    0.00023532    0.00000000
   -0.96000000   -4.00000000    0.00023532    0.00000000
   -0.88000000   -4.00000000    0.00023233    0.00000000
   -0.80000000   -4.00000000    0.00022645    0.00000000
   -0.72000000   -4.00000000    0.00021792    0.00000000
   -0.64000000   -4.00000000    0.00020705    0.00000000
   -0.56000000   -4.00000000    0.00019421    0.00000000
   -0.48000000   -4.00000000    0.00017985    0.00000000
   -0.40000000   -4.00000000    0.00016444    0.00000000
   -0.32000000   -4.00000000    0.00014843    0.00000000
   -0.24000000   -4.00000000    0.00013228    0.00000000
   -0.16000000   -4.00000000    0.00011639    0.00000000
   -0.08000000   -4.00000000    0.00010110    0.00000000
    0.00000000   -4.00000000    0.00008671    0.00000000
    0.08000000   -4.00000000    0.00007342    0.00000000
    0.16000000   -4.00000000    0.00006137    0.00000000
    0.24000000   -4.00000000    0.00005065    0.00000000
    0.32000000   -4.00000000    0.00004127    0.00000000
    0.40000000   -4.00000000    0.00003320    0.00000000
    0.48000000   -4.00000000    0.00002637    0.00000000
